catalog_index,id,ra,dec,z_source,cluster,z_lens,best_mu,median_mu,n_valid_mu_models,mu_model_000,mu_model_001,mu_model_002,mu_model_003,mu_model_004,mu_model_005,mu_model_006,mu_model_007,mu_model_008,mu_model_009,mu_model_010,mu_model_011,mu_model_012,mu_model_013,mu_model_014,mu_model_015,mu_model_016,mu_model_017,mu_model_018,mu_model_019,mu_model_020,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
4,18,342.180666,-44.5101691,3.0756,abells1063,0.348,1.56,1.63,19,1.56,1.67,1.63,1.63,1.62,1.37,1.37,1.29,,1.92,1.74,1.8,1.69,1.76,,1.28,1.28,1.34,1.42,1.94,1.78,[BHF2019] RXCJ2248   3122,342.1807,-44.5102,G,2.95,E,2021MNRAS.501.1028Y,0.14139762666926223,SIMBAD
8,46,342.1669392,-44.5112473,1.6872,abells1063,0.348,1.52,1.31,19,1.52,1.36,1.31,1.31,1.31,1.12,1.12,1.1,,1.54,1.54,1.44,1.41,1.41,,1.08,1.08,1.08,1.08,1.73,1.38,[BHF2019] RXCJ2248   3104,342.1669,-44.5112,G,1.43,E,2021MNRAS.501.1028Y,0.19779430257239236,SIMBAD
14,77,342.1992297,-44.5133209,2.0659,abells1063,0.348,2.3,2.72,21,2.3,2.75,2.42,2.42,2.41,2.72,2.72,3.18,2.97,2.8,1.92,2.8,2.74,6.51,5.85,2.32,2.32,2.5,2.51,3.09,3.17,NAME CMC2020 R2248 MR p1 M1 Q4 59 1,342.1991817,-44.5133024,LeG,1.4267,C,2018A&A...613A..72G,0.1400682214329642,SIMBAD
19,100,342.1762321,-44.512699,0.9764,abells1063,0.348,1.36,1.5,21,1.36,1.5,6.9,6.9,5.98,1.32,1.32,1.27,1.59,1.65,1.7,1.52,1.47,3.2,1.41,1.15,1.15,1.18,1.34,1.59,1.52,[BHF2019] RXCJ2248   2887,342.17619999999994,-44.51270000000001,G,1.583,E,2021MNRAS.501.1028Y,0.08248386544357382,SIMBAD
20,107,342.1946324,-44.5128058,1.7219,abells1063,0.348,2.08,2.08,21,2.08,2.24,2.08,2.08,2.07,2.04,2.04,2.39,2.41,2.37,1.86,2.41,2.28,2.43,7.33,1.87,1.87,2.07,1.57,2.16,2.18,NAME CMC2020 GLASS 00093-99-99,342.1945875,-44.51285277777779,LeG,1.4317,C,2020MNRAS.492..821C,0.20466427031289405,SIMBAD
21,109,342.1938898,-44.5128706,2.5318,abells1063,0.348,2.2,2.25,21,2.2,2.43,2.25,2.25,2.24,2.16,2.16,2.52,2.64,2.6,1.98,2.65,2.48,2.66,5.22,2.01,2.01,2.18,1.62,2.31,2.31,[BHF2019] RXCJ2248   2986,342.1938,-44.5128,G,2.2,E,2021MNRAS.501.1028Y,0.34313386785344696,SIMBAD
24,121,342.21158,-44.5136149,2.4947,abells1063,0.348,2.36,2.44,19,,2.36,2.07,2.07,2.08,2.53,2.53,2.42,3.08,2.84,1.52,2.44,2.77,3.63,,1.29,1.29,1.64,3.03,5.12,3.69,[WEC2019] 3,342.2113666666666,-44.513652777777786,G,0.211,D,2019ApJ...877....7W,0.5643692434468841,SIMBAD
26,127,342.1673168,-44.5139265,0.3652,abells1063,0.348,1.03,1.02,21,1.03,1.02,1.14,1.14,1.14,1.01,1.01,1.01,1.03,1.09,1.03,1.02,1.02,1.02,1.01,1.0,1.0,1.0,1.01,1.03,1.02,[DCL2021] RX J2248.7-4431 c,342.16724999999997,-44.51391944444444,G,0.3517,C,2014ApJ...792...45R,0.1733524334553717,SIMBAD
31,154,342.1970853,-44.5133288,4.3472,abells1063,0.348,2.56,3.07,21,2.56,3.07,2.74,2.74,2.73,2.9,2.9,3.65,3.33,3.23,2.08,3.3,3.15,3.38,26.6,2.74,2.74,3.07,2.24,3.2,3.13,[BHF2019] RXCJ2248   2871,342.1971,-44.51330000000001,G,1.34,E,2021MNRAS.501.1028Y,0.1103340058903533,SIMBAD
47,209,342.1928236,-44.5149598,0.3841,abells1063,0.348,1.07,1.1,21,1.07,1.09,1.28,1.28,1.27,1.1,1.1,1.1,1.38,1.68,1.06,1.09,1.09,1.39,1.37,1.08,1.08,1.1,1.12,1.13,1.68,[KCC2017] NE-27,342.19269,-44.51492,G,0.3424,D,2017A&A...599A..28K,0.37168357233942684,SIMBAD
56,249,342.163373,-44.5147559,1.3093,abells1063,0.348,1.57,1.36,21,1.57,1.46,1.36,1.36,1.35,1.14,1.14,1.13,1.54,1.56,1.61,1.47,1.43,1.42,1.17,1.08,1.08,1.07,1.21,1.83,1.51,[BHF2019] RXCJ2248   2922,342.1634,-44.5148,G,1.55,E,2021MNRAS.501.1028Y,0.1732300924652987,SIMBAD
59,257,342.2053612,-44.5155148,3.7277,abells1063,0.348,3.54,4.23,21,3.54,4.61,3.45,3.45,3.45,5.67,5.67,4.23,5.4,4.73,1.95,3.93,4.39,5.57,1.33,2.82,2.82,3.25,29.93,16.9,11.11,[BVR2013] J224849.28-443055.8,342.2053289,-44.5154793,LeG,3.5457,C,2018A&A...613A..72G,0.15234070364743094,SIMBAD
65,284,342.1759131,-44.5165018,1.5968,abells1063,0.348,1.58,1.82,21,1.58,1.86,1.76,1.76,1.75,2.03,2.03,1.99,2.02,1.98,2.2,1.98,1.82,1.87,1.88,1.37,1.37,1.65,1.3,1.54,1.73,NAME CMC2020 R2248 LRb p1 M3 Q4 58 2,342.175906,-44.51650300000001,LeG,1.4199,C,2020MNRAS.492..821C,0.01873051006617239,SIMBAD
68,291,342.162159,-44.5162493,1.2235,abells1063,0.348,1.5,1.32,21,1.5,1.38,1.32,1.32,1.32,1.13,1.13,1.12,1.5,1.52,1.62,1.45,1.42,1.4,1.19,1.09,1.09,1.07,1.14,1.78,1.38,[BHF2019] RXCJ2248   2798,342.1622,-44.5163,G,1.485,E,2021MNRAS.501.1028Y,0.2106901756918006,SIMBAD
69,293,342.1817283,-44.511778,0.5085,abells1063,0.348,1.17,1.51,21,1.17,1.21,75.84,75.84,26.57,1.51,1.51,1.54,5.36,1.25,1.2,1.13,3.99,0.28,1.18,1.09,1.09,1.12,6.76,8.39,27.04,[GVR2012] 1199,342.181683,-44.511773,GiC,0.5341,D,2012AJ....144...79G,0.117678172397779,SIMBAD
73,305,342.1856441,-44.5160755,1.2586,abells1063,0.348,1.8,2.13,21,1.8,2.24,2.08,2.08,2.07,2.13,2.13,1.93,2.34,2.29,4.34,2.35,2.12,2.25,6.06,2.67,2.67,3.18,1.74,2.0,2.01,[BHF2019] RXCJ2248   2817,342.1856,-44.5161,G,1.15,E,2021MNRAS.501.1028Y,0.14350775028344628,SIMBAD
74,307,342.2108859,-44.5132518,1.7702,abells1063,0.348,2.2,2.26,19,,2.2,1.96,1.96,1.97,2.4,2.4,2.25,2.81,2.58,1.47,2.26,2.47,3.15,,1.27,1.27,1.52,2.84,3.97,3.25,[BHF2019] RXCJ2248   2983,342.2109,-44.51330000000001,G,1.56,E,2021MNRAS.501.1028Y,0.17725508744136503,SIMBAD
76,317,342.1835974,-44.5164592,2.0682,abells1063,0.348,1.86,2.56,21,1.86,2.67,2.4,2.4,2.39,2.46,2.46,2.2,2.8,2.67,6.19,2.73,2.38,2.56,4.67,3.03,3.03,3.83,1.95,2.23,2.57,[BHF2019] RXCJ2248   2755,342.18355416666657,-44.51648333333334,G,1.241,E,2019ApJ...877....7W,0.14094132950605798,SIMBAD
91,419,342.1739949,-44.514093,0.3748,abells1063,0.348,1.04,1.04,21,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.01,1.01,1.01,1.02,1.04,1.04,[BHF2019] RXCJ2248   3001,342.173965,-44.514089,LeG,5.98,E,2022MNRAS.514.1148Y,0.0780948190257134,SIMBAD
99,446,342.1737521,-44.5142557,2.8152,abells1063,0.348,1.63,1.63,21,1.63,1.72,1.61,1.61,1.61,1.62,1.62,1.56,1.9,1.92,2.23,1.85,1.72,1.76,1.72,1.23,1.23,1.29,1.26,1.75,1.67,[BHF2019] RXCJ2248   3001,342.173965,-44.514089,LeG,5.98,E,2022MNRAS.514.1148Y,0.8116895375513236,SIMBAD
100,454,342.169966,-44.5189176,1.9347,abells1063,0.348,1.84,1.84,21,1.84,1.84,1.7,1.7,1.7,1.88,1.88,1.87,1.97,1.97,3.07,1.99,1.84,1.86,1.61,1.4,1.4,1.32,1.18,1.31,1.7,[TSB2015] GLASS RXJ2248-00331,342.169955,-44.518922,LeG,1.93,D,2020ApJ...900..183W,0.03237517456806058,SIMBAD
102,456,342.1670453,-44.5187733,1.3707,abells1063,0.348,1.69,1.52,21,1.69,1.61,1.52,1.52,1.51,1.46,1.46,1.46,1.73,1.73,2.81,1.72,1.64,1.63,1.39,1.23,1.23,1.16,1.13,1.36,1.54,NAME CMC2020 GLASS 00333-99-99,342.16720833333335,-44.518861111111114,LeG,1.4285,C,2020MNRAS.492..821C,0.5244637648221636,SIMBAD
105,465,342.1590489,-44.5189612,0.9684,abells1063,0.348,1.66,1.3,21,1.66,1.34,1.3,1.3,1.3,1.13,1.13,1.12,1.45,1.47,1.47,1.41,1.39,1.36,1.24,1.1,1.1,1.07,1.14,1.63,1.34,[BHF2019] RXCJ2248   2687,342.159,-44.519,G,1.14,E,2021MNRAS.501.1028Y,0.18779165120608715,SIMBAD
114,489,342.1635523,-44.5147011,1.1119,abells1063,0.348,1.52,1.33,21,1.52,1.43,1.33,1.33,1.33,1.12,1.12,1.12,1.49,1.51,1.55,1.43,1.4,1.39,1.15,1.07,1.07,1.07,1.19,1.74,1.47,[BHF2019] RXCJ2248   2910,342.16349999999994,-44.5147,G,1.481,E,2021MNRAS.501.1028Y,0.1343153198128426,SIMBAD
116,497,342.1691572,-44.5195829,5.1909,abells1063,0.348,2.0,2.0,21,2.0,2.07,1.86,1.86,1.86,2.06,2.06,2.07,2.23,2.22,4.03,2.28,2.07,2.09,1.71,1.56,1.56,1.38,1.22,1.34,1.89,[LBL2018] AS1063 cluster  1,342.169158,-44.5195842,G?,4.907,E,2018ApJ...862..156L,0.005110689182955737,SIMBAD
120,505,342.1636406,-44.5154991,6.1021,abells1063,0.348,1.63,1.48,21,1.63,1.62,1.48,1.48,1.48,1.23,1.23,1.22,1.77,1.8,1.93,1.7,1.63,1.62,1.28,1.15,1.15,1.13,1.23,2.21,1.66,[BHF2019] RXCJ2248   2752,342.1636,-44.5155,G,1.19,E,2021MNRAS.501.1028Y,0.1042713187778236,SIMBAD
122,512,342.1713012,-44.5198001,5.9127,abells1063,0.348,1.77,2.04,21,1.77,2.3,2.04,2.04,2.04,2.58,2.58,2.61,2.44,2.43,3.9,2.54,2.24,2.29,1.87,1.95,1.95,1.78,1.28,1.35,2.03,CLASH RXJ2248-4431  401,342.17129166666666,-44.51983611111111,LeG,6.11,C,2018ApJ...855....4K,0.13192926786259704,SIMBAD
127,522,342.1581727,-44.5200665,1.2508,abells1063,0.348,1.9,1.37,21,1.9,1.43,1.37,1.37,1.37,1.19,1.19,1.17,1.55,1.58,1.55,1.5,1.48,1.44,1.36,1.14,1.14,1.09,1.27,1.74,1.43,NAME CMC2020 R2248 LRb p3 M4 Q3 93  1,342.15819166666665,-44.52005833333333,LeG,1.485,C,2020MNRAS.492..821C,0.0568725759316124,SIMBAD
135,567,342.2013811,-44.520769,0.4656,abells1063,0.348,1.38,1.71,21,1.38,1.45,1.85,1.85,1.82,1.72,1.72,1.64,2.89,1.76,1.21,1.44,1.41,4.88,2.47,1.71,1.71,1.44,1.56,1.49,166.8,[KCC2017] NE-43,342.20122,-44.52067,G,0.3459,D,2017A&A...599A..28K,0.545904053033528,SIMBAD
137,571,342.2046592,-44.5216987,0.4733,abells1063,0.348,1.32,2.96,21,1.32,12.06,2.96,2.96,2.84,1.67,1.67,1.55,4.42,1.3,1.28,29.01,4.69,4.12,4.5,1.41,1.41,1.66,3.22,3.19,82.92,[GVR2012] 637,342.204623,-44.521691,GiC,0.3567,D,2012AJ....144...79G,0.09696298054505509,SIMBAD
138,574,342.1587375,-44.5158246,6.0986,abells1063,0.348,1.98,1.38,21,1.98,1.45,1.38,1.38,1.37,1.11,1.11,1.1,1.64,1.68,1.66,1.56,1.53,1.5,1.25,1.12,1.12,1.1,1.14,2.21,1.48,[BHF2019] RXCJ2248   2888,342.15869999999995,-44.51579999999999,G,2.89,E,2021MNRAS.501.1028Y,0.13080282772048346,SIMBAD
142,586,342.1864624,-44.521187,1.3598,abells1063,0.348,3.24,5.52,21,3.24,6.99,5.52,5.52,5.53,5.19,5.19,4.95,5.61,5.26,7.59,6.25,4.91,5.56,4.51,5.98,5.98,5.54,3.48,4.82,4.89,[MSG2014] 2c,342.18642,-44.52116,LeG,1.229,D,2016A&A...587A..80C,0.14591787936019726,SIMBAD
154,621,342.1797486,-44.5215724,1.4118,abells1063,0.348,2.13,3.03,21,2.13,3.28,2.93,2.93,2.92,3.48,3.48,3.73,3.27,3.3,4.26,3.53,2.92,3.1,1.62,3.03,3.03,2.8,1.95,2.66,2.48,[KIS2018] AS1063 2.3,342.179742,-44.521566,LeI,1.259,C,2018ApJ...855....4K,0.02859762540194917,SIMBAD
155,622,342.1904098,-44.5163154,0.5194,abells1063,0.348,1.32,1.4,21,1.32,1.43,1.38,1.38,1.38,1.39,1.39,1.36,1.45,1.43,1.42,1.45,1.4,1.45,2.72,1.46,1.46,1.46,1.3,1.33,1.39,[KCC2017] NE-31,342.19019,-44.51652,G,0.3428,D,2017A&A...599A..28K,0.9278291618015989,SIMBAD
156,623,342.19294,-44.5220526,0.3615,abells1063,0.348,1.06,1.06,21,1.06,1.06,1.09,1.09,1.09,1.06,1.06,1.06,1.06,1.15,1.05,1.07,1.06,1.06,1.05,1.07,1.07,1.08,1.04,1.04,1.07,[KCC2017] NE-32,342.19293,-44.52207,G,0.3431,D,2017A&A...599A..28K,0.06769475477227244,SIMBAD
161,641,342.1866596,-44.5224796,0.4338,abells1063,0.348,1.3,2.14,21,1.3,3.31,2.2,2.2,2.16,1.54,1.54,1.56,3.03,16.26,1.55,6.59,4.59,3.32,1.27,1.42,1.42,1.33,1.98,2.14,19.11,[KCC2017] NE-18,342.18662,-44.522471,GiC,0.3388,D,2017A&A...599A..28K,0.10625240261244172,SIMBAD
163,648,342.1966575,-44.5226021,0.5903,abells1063,0.348,2.27,2.44,21,2.27,2.44,2.22,2.22,2.22,2.63,2.63,2.51,2.45,4.06,1.57,2.44,2.25,2.46,2.29,3.07,3.07,2.95,2.17,1.89,3.03,[RBB2014] J224847.17-443121.0,342.196579,-44.5225,G,0.2414,C,2014ApJ...792...45R,0.4191625027076444,SIMBAD
164,649,342.1972769,-44.523272,0.3921,abells1063,0.348,1.18,1.28,21,1.18,2.08,1.68,1.68,1.66,1.26,1.26,1.25,3.02,0.54,1.12,3509.81,7.16,2.38,1.22,1.28,1.28,1.24,1.25,1.22,3.93,[KCC2017] NE-69,342.197233,-44.523265,GiC,0.351,D,2017A&A...599A..28K,0.11546068695639776,SIMBAD
169,668,342.2032108,-44.522471,6.7289,abells1063,0.348,7.58,22.8,21,7.58,34.36,41.07,41.07,43.76,22.8,22.8,15.02,8.44,52.22,3.11,124.93,36.4,22.1,3.43,26.04,26.04,6.0,3.08,7.28,6.2,[IKO2018] HFF5C-4877-1209,342.20321,-44.522476,G,6.16,E,2018ApJ...854...73I,0.01811674156793499,SIMBAD
170,671,342.1546147,-44.5225605,1.8711,abells1063,0.348,32.81,1.57,19,32.81,1.72,1.54,1.54,1.53,1.37,1.37,1.32,,1.78,1.58,1.66,1.63,1.57,,1.21,1.21,1.12,2.03,1.96,1.84,NAME CMC2020 R2248 LRb p3 M4 Q3 94 1,342.1546074,-44.5225565,LeG,2.0659,C,2018A&A...613A..72G,0.023631207688163434,SIMBAD
174,677,342.1616751,-44.5228637,1.6567,abells1063,0.348,2.3,1.67,21,2.3,1.76,1.63,1.63,1.63,1.67,1.67,1.58,1.9,1.9,2.23,1.85,1.78,1.73,2.1,1.36,1.36,1.21,1.35,1.53,1.7,[BHF2019] RXCJ2248   2405,342.1617,-44.5229,G,1.419,E,2021MNRAS.501.1028Y,0.14547108493632557,SIMBAD
175,678,342.1921003,-44.5228276,0.4077,abells1063,0.348,1.31,1.31,21,1.31,1.33,1.42,1.42,1.41,1.31,1.31,1.3,1.31,1.31,1.24,1.33,1.29,1.33,1.19,1.33,1.33,1.36,1.22,1.22,1.64,[KCC2017] NE-13,342.19207,-44.52283,G,0.3368,D,2017A&A...599A..28K,0.07824935116320825,SIMBAD
176,680,342.1796224,-44.5230514,0.3694,abells1063,0.348,1.05,1.08,21,1.05,1.08,1.17,1.17,1.17,1.12,1.12,1.13,1.37,1.52,1.07,1.09,1.08,1.08,1.04,1.07,1.07,1.06,1.05,1.07,1.07,[KCC2017] NE-19,342.1796,-44.52307,G,0.339,D,2017A&A...599A..28K,0.08825629918240785,SIMBAD
177,682,342.1789129,-44.5247148,0.5395,abells1063,0.348,1.57,1.96,21,1.57,1.95,5.33,5.33,4.94,2.03,2.03,2.12,0.39,8.75,1.77,1.96,1.81,1.02,1.35,1.82,1.82,1.55,2.2,2.85,75.81,[KCC2017] NE-71,342.17891,-44.52472,G,0.3515,D,2017A&A...599A..28K,0.020145453273965733,SIMBAD
178,684,342.17891,-44.5236029,1.6131,abells1063,0.348,2.75,4.26,21,2.75,4.8,4.26,4.26,4.24,5.02,5.02,5.66,4.7,4.87,4.78,5.19,4.01,4.33,1.77,3.66,3.66,2.83,2.24,4.05,3.36,[BHF2019] RXCJ2248   2341,342.1789,-44.5236,LeG,1.45,E,2014MNRAS.438.1417M,0.027708644520640553,SIMBAD
180,686,342.1779597,-44.5240621,0.4745,abells1063,0.348,1.27,1.76,21,1.27,12.61,6.15,6.15,5.53,1.66,1.66,1.72,1.21,20.97,1.43,4.4,9.52,4.74,1.2,1.43,1.43,1.34,1.76,2.05,38.62,[KCC2017] NE-46,342.17794,-44.52407,G,0.3464,D,2017A&A...599A..28K,0.05801236256618362,SIMBAD
188,706,342.2057875,-44.5233305,0.6495,abells1063,0.348,1.61,1.9,21,1.61,1.89,1.75,1.75,1.75,2.11,2.11,1.72,2.19,1.94,1.5,1.9,1.88,2.07,13.16,1.63,1.63,2.3,2.19,2.04,2.14,[KCC2017] NE-84,342.20568,-44.52325,G,0.4386,D,2017A&A...599A..28K,0.4001432040821092,SIMBAD
197,730,342.1959,-44.5234555,5.834,abells1063,0.348,3.52,4.36,21,3.52,3.93,4.84,4.84,4.72,3.92,3.92,3.98,4.14,4.66,8.23,4.9,4.12,4.36,5.48,4.9,4.9,7.93,1.92,3.2,2.33,[KCC2017] NE-22,342.19589,-44.52368,G,0.34,D,2017A&A...599A..28K,0.8086074549197111,SIMBAD
198,733,342.189167,-44.5236786,0.4496,abells1063,0.348,1.59,1.63,21,1.59,1.67,2.21,2.21,2.2,1.67,1.67,1.69,1.62,1.63,1.56,1.67,1.59,1.66,1.39,1.6,1.6,1.6,1.46,1.51,4.09,[KCC2017] NE-21,342.18917,-44.52368,G,0.3397,D,2017A&A...599A..28K,0.009202783598600064,SIMBAD
201,753,342.1900247,-44.5241232,0.4682,abells1063,0.348,1.89,1.88,21,1.89,1.88,3.73,3.73,3.65,1.88,1.88,1.91,2.65,26.32,1.67,1.88,1.78,112.84,1.49,1.81,1.81,1.81,1.63,1.67,18.75,[KCC2017] NE-74,342.19002,-44.52413,G,0.353,D,2017A&A...599A..28K,0.027290864005614694,SIMBAD
202,754,342.1890233,-44.524694,0.4327,abells1063,0.348,1.63,1.67,21,1.63,1.63,8.56,8.56,7.59,1.67,1.67,1.69,2.3,2.32,1.48,1.63,1.57,3.52,1.38,1.63,1.63,1.67,1.53,1.57,17.4,[KCC2017] NE-15,342.18901,-44.5247,G,0.3382,D,2017A&A...599A..28K,0.04039584069532709,SIMBAD
207,765,342.1932697,-44.5241328,0.3669,abells1063,0.348,1.11,1.11,21,1.11,1.11,1.13,1.13,1.13,1.1,1.1,1.1,1.1,1.1,1.08,1.11,1.1,1.11,1.06,1.11,1.11,1.13,1.08,1.07,1.23,[KCC2017] NE-20,342.19327,-44.52413,G,0.339,D,2017A&A...599A..28K,0.0101093662937161,SIMBAD
214,784,342.16379,-44.5243007,0.3877,abells1063,0.348,1.07,1.07,21,1.07,1.07,1.07,1.07,1.07,1.09,1.09,1.07,1.08,1.08,1.09,1.08,1.08,1.07,1.1,1.05,1.05,1.03,1.03,1.04,1.06,[IKO2018] HFF5C-3930-1274,342.163789,-44.524303,G,5.734,E,2018ApJ...862..156L,0.008668678986824862,SIMBAD
216,808,342.1967047,-44.5290987,0.4121,abells1063,0.348,1.2,1.33,21,1.2,1.31,1.48,1.48,1.47,1.33,1.33,1.33,1.72,1.59,1.23,1.32,1.29,1.3,1.2,1.33,1.33,1.31,1.23,1.26,2.1,[KCC2017] NE-79,342.1967,-44.52909,G,0.3572,D,2017A&A...599A..28K,0.033562455758340354,SIMBAD
217,810,342.1952413,-44.5279903,1.1385,abells1063,0.348,9.55,31.33,21,9.55,44.88,28.32,28.32,28.14,66.15,66.15,32.83,42.9,45.13,6.66,62.74,42.68,31.33,10.31,27.32,27.32,54.62,9.62,21.0,203.24,[KCC2017] NE-88d,342.1952,-44.52786,G,1.2279,D,2017A&A...599A..28K,0.48090648190375307,SIMBAD
219,814,342.1933123,-44.5264378,0.3974,abells1063,0.348,1.29,1.96,21,1.29,4.44,2.35,2.35,2.28,1.42,1.42,1.44,2.06,3.04,1.28,4.75,1.79,2.47,1.22,1.34,1.34,1.32,1.98,1.96,4.69,[KCC2017] NE-39,342.193271,-44.526427,GiC,0.3448,D,2017A&A...599A..28K,0.11290362345102999,SIMBAD
222,823,342.1893178,-44.5189339,0.8146,abells1063,0.348,2.05,2.52,21,2.05,2.53,2.44,2.44,2.42,2.52,2.52,2.38,2.48,2.53,3.19,2.58,2.34,2.52,4.33,2.66,2.66,3.52,2.02,2.04,2.26,[KCC2017] NE-94a,342.18935,-44.51871,G,3.2857,D,2017A&A...599A..28K,0.8102666530670302,SIMBAD
226,831,342.1924147,-44.5250537,2.8008,abells1063,0.348,1.48,4.04,21,1.48,4.58,4.41,4.41,4.43,4.34,4.34,4.48,4.04,4.04,73.17,5.41,3.87,4.3,3.27,3.54,3.54,2.61,1.73,2.99,2.65,[KIS2018] AS1063 44.2,342.192403,-44.525046999999994,LeI,2.976,C,2018ApJ...855....4K,0.038516582950314224,SIMBAD
